SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
Cc1cccc(C2=CCN(C(=O)NCCCC#N)CC2)c1,4.794537184071822 5.261891554738487 10.216698334856808 0.0 26.186202068468653 19.634269217737724 41.468391364074314 0.0 6.069221312792274 11.60421904240734,5.316788604006331 30.565293460926277 0.0 18.254850067221383 30.389367852172022 30.34148838068032 0.0 5.573104530069267 0.0 4.794537184071822,10.216698334856808 0.0 4.794537184071822 5.261891554738487 0.0 35.90493987237732 30.901936467308907 26.055090840663734 6.069221312792274 0.0 0.0 0.0 0.0 6.031114512338072
C[C@H](CCC(C)(C)C)C(=O)N[C@@H](C)c1nncn1C,4.794537184071822 0.0 20.08125186839976 18.380568498235363 53.50217007345309 0.0 12.151724572764468 0.0 0.0 5.907179729351506,5.316788604006331 20.671642993744936 11.842209166749011 11.332896515558172 59.326574571453015 6.3273200747645415 0.0 0.0 0.0 0.0,9.883888251797686 4.794537184071822 0.0 0.0 10.197363616602075 27.694948798762496 25.180370914939424 12.965578028838582 6.041840829147961 6.3273200747645415 5.824404497999927 5.907179729351506 0.0 0.0
C=CCCCC(=O)N[C@@H]1CN(c2ccc(C#N)nc2)C[C@H]1C,4.794537184071822 5.261891554738487 10.30076712495354 5.917906046161393 32.22804289761662 17.98942254267563 36.67846149381714 0.0 6.069221312792274 11.594566004035068,10.216698334856808 30.022511891271826 4.794537184071822 17.249018913692154 31.880130063317115 30.984533498968673 0.0 0.0 0.0 5.687386274683562,10.216698334856808 4.794537184071822 4.9839785209472085 5.261891554738487 6.578935683598497 12.999757306524504 30.89228342893663 19.51033443475116 17.9260706754446 11.763149307640735 0.0 5.907179729351506 0.0 0.0
C[C@H](CNC(=O)c1cnn(C)c1C(F)(F)F)CC(F)(F)F,31.137027470120742 0.0 15.097273347452553 12.965578028838582 25.69715585750358 6.544756405912575 17.454223058158533 0.0 0.0 5.907179729351506,5.316788604006331 28.408719396153778 13.223970500120664 5.917906046161393 29.39647549323391 6.196843571613076 0.0 0.0 0.0 26.34249028604892,5.316788604006331 9.476340119217006 0.0 31.44117209434996 0.0 6.923737199690624 5.917906046161393 20.013250011515773 11.760295063310071 0.0 5.693927994848461 0.0 5.907179729351506 12.35259703488695
Cc1ccc(C(=O)NCCN(C(=O)[C@H]2CC23CCC3)C2CC2)s1,9.589074368143644 0.0 10.216698334856808 11.332896515558172 51.49050776639464 13.08951281182515 21.88702852432582 0.0 0.0 23.151145336637747,5.316788604006331 35.8456228305266 4.794537184071822 18.256633715248796 53.07376130903049 12.13273413692322 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 0.0 11.336785877934737 6.4208216229260096 56.575569920640675 29.926406880835803 4.877147193701299 0.0 0.0 5.907179729351506 5.907179729351506 0.0
Cc1nc(C(=O)N[C@@H](C)[C@H]2CCCN(CC3CC4(CCC4)C3)C2)co1,9.211688121125169 0.0 15.200676855804018 17.250802561719567 64.83506658901129 19.634269217737724 17.847814912513428 0.0 0.0 5.907179729351506,5.316788604006331 41.46717802803487 0.0 24.17453976141019 68.2486776611189 10.680313932692403 0.0 0.0 0.0 0.0,14.633849271910154 4.794537184071822 4.9839785209472085 0.0 0.0 6.4208216229260096 69.24422590487882 26.055090840663738 0.0 6.263162995639057 11.58465191687437 0.0 5.907179729351506 0.0
CCC[C@@H](C(=O)N1CC[C@@H](CCNC(C)=O)C1)C(C)C,9.589074368143644 0.0 10.216698334856808 17.75371813848418 53.37823529046652 19.634269217737724 0.0 0.0 0.0 11.814359458703011,5.316788604006331 36.348538407291215 9.589074368143644 17.75371813848418 53.37823529046652 0.0 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 0.0 0.0 27.19203322199788 31.098276961100815 32.475912463589744 0.0 0.0 0.0 11.814359458703011 0.0 0.0
Cc1ccc(OC[C@H](C)OCc2ccccc2S(C)(=O)=O)cc1,17.891522891929036 0.0 0.0 0.0 31.453806227160243 12.862651148024323 59.65783953108687 0.0 5.749511833283905 9.837253136417502,4.736862953800049 27.38441452010156 21.18099805473047 6.923737199690624 18.050640183084614 53.42642002321065 0.0 0.0 0.0 0.0,9.473725907600098 0.0 8.417796984328938 0.0 0.0 35.89528683400505 37.61002709646307 6.255769183511404 17.606331827778995 12.356393797796823 9.837253136417502 0.0 0.0 0.0
CCOC(=O)c1ccc(F)c(C)c1NC(=O)C[C@H]1CCCCO1,23.45321532341856 0.0 0.0 0.0 45.634727278833594 18.530552533032168 29.076857961363107 0.0 0.0 17.563871291986917,5.316788604006331 31.194215334077494 14.268263091671919 12.740958040736519 48.528463858860476 12.13273413692322 0.0 0.0 0.0 10.077801322358383,14.790514511606428 4.794537184071822 9.184952231746642 0.0 0.0 0.0 45.2426734050825 12.170333456209914 30.382507741567785 5.817220841045895 0.0 5.907179729351506 0.0 5.969305287951849
C[C@H](C(=O)N1CCOC[C@H]1C[C@H]1CCCO1)c1ccc(Cl)s1,14.268263091671919 0.0 4.899909730850478 0.0 44.24991533152631 26.36540229945133 21.34621034637015 0.0 0.0 28.84490549751876,0.0 49.31829897654957 14.268263091671919 0.0 36.98125530833134 12.13273413692322 4.336329015745631 0.0 0.0 0.0,14.373635638450576 4.794537184071822 0.0 0.0 11.336785877934737 11.600939890232516 38.31893620539187 18.028785564126792 35.61380620782913 0.0 0.0 5.907179729351506 0.0 0.0
CC(C)=CC(=O)N(CCNC(=O)[C@@H](C)C#N)Cc1ccccc1,9.589074368143644 5.261891554738487 10.216698334856808 5.917906046161393 27.315968004984448 13.08951281182515 47.544411470908194 0.0 6.069221312792274 11.814359458703011,5.316788604006331 29.80378200137864 16.133830774056218 17.249018913692154 26.334663090768867 41.9809599792112 0.0 0.0 0.0 0.0,10.216698334856808 9.589074368143644 0.0 5.261891554738487 0.0 35.90493987237732 26.334663090768867 25.710289324571608 6.069221312792274 5.917906046161393 0.0 11.814359458703011 0.0 0.0
COC1(CNC(=O)c2cccc(CC#N)c2)CCCCC1,9.53140013787187 5.261891554738487 5.316788604006331 0.0 44.125980548539744 13.65455394719011 35.392371257240434 0.0 6.069221312792274 5.907179729351506,5.316788604006331 25.1627844875253 11.157684576726059 11.33111286753076 48.02554828209587 24.26546827384644 0.0 0.0 0.0 0.0,10.05365155780638 4.794537184071822 0.0 5.261891554738487 0.0 31.39519900570125 30.537828874472236 19.218005438887104 18.091093746701972 0.0 0.0 0.0 5.907179729351506 0.0
COCCN(C)C(=O)Nc1ccnc(C2(C)CC2)n1,9.53140013787187 0.0 14.867866772744893 0.0 25.180370914939424 32.62589649838655 18.08761513807461 0.0 0.0 11.8489772901731,5.316788604006331 48.20808917946319 10.15185342319683 0.0 25.589784943542572 12.263210640074686 0.0 0.0 0.0 10.61239996190685,9.636772684650527 5.316788604006331 14.76249422596624 0.0 0.0 6.923737199690624 18.90801031431363 32.31405997087715 6.606881964512918 11.642267275834955 0.0 0.0 0.0 6.031114512338072
Cc1ccccc1C(=O)NC[C@@]1(C)CC1(Cl)Cl,4.794537184071822 0.0 5.316788604006331 5.41499046939678 24.601650135792696 6.544756405912575 35.392371257240434 0.0 0.0 29.10905950981654,5.316788604006331 16.78529024874952 0.0 12.338727669087405 29.265998990082448 24.26546827384644 0.0 0.0 0.0 0.0,5.316788604006331 4.794537184071822 0.0 0.0 23.20187978046503 25.122838405075456 24.974377382775238 17.52319836700635 0.0 4.33335411348544 0.0 0.0 5.907179729351506 0.0
C[C@H]1C[C@@H](O)CCN1C(=O)CCc1nc2ccccc2s1,9.901064578912528 0.0 9.883888251797686 0.0 44.75283090829093 6.544756405912575 29.273091970699205 0.0 0.0 27.460586241371608,0.0 39.58815899879874 11.21535880699783 0.0 31.193825765321417 24.26546827384644 0.0 10.216620634085363 0.0 0.0,10.006437125691184 4.794537184071822 4.9839785209472085 0.0 11.336785877934737 12.13273413692322 31.898114582465862 25.428240480912553 21.328210718686428 0.0 0.0 5.907179729351506 0.0 0.0
COC(=O)c1cc(C)nc(-c2ccc3c(c2)OCC3)c1,14.268263091671919 0.0 4.9839785209472085 0.0 13.344558822616634 13.716679505790452 47.1526663205505 0.0 17.00689131982936 5.969305287951849,4.736862953800049 24.66996331468951 11.157684576726059 6.923737199690624 21.615368162314272 30.33183534230805 0.0 11.257379486545457 0.0 0.0,9.473725907600098 4.9839785209472085 4.794537184071822 0.0 0.0 12.13273413692322 30.686289896772447 17.678201109471466 24.97405899233591 5.749511833283905 0.0 0.0 0.0 5.969305287951849
CC(=O)N1[C@H]2CC[C@H]1CN(CC(=O)N(C)[C@H](C)c1ccccc1)C2,9.589074368143644 0.0 14.699729192551434 0.0 44.814640132677155 26.681941200414915 35.89528683400505 0.0 0.0 11.814359458703011,0.0 65.27971150996528 9.589074368143644 0.0 38.29440996607822 30.33183534230805 0.0 0.0 0.0 0.0,9.799819461700956 14.48898409899412 0.0 0.0 0.0 30.33183534230805 25.328831937239638 39.14460365248888 12.586597235060536 0.0 0.0 11.814359458703011 0.0 0.0
COC(=O)CN(C)C(=O)C[C@@H]1CCCS(=O)(=O)C1,22.74373430627263 0.0 4.899909730850478 5.917906046161393 19.26246486877803 32.207933143360876 0.0 0.0 0.0 21.713738153720858,0.0 57.40212487584365 24.163190458361193 5.917906046161393 19.26246486877803 0.0 0.0 0.0 0.0 0.0,9.636772684650527 9.589074368143644 8.417796984328938 0.0 0.0 0.0 18.75954929201341 13.4684936056032 18.615504754771113 6.544756405912575 9.837253136417502 5.907179729351506 0.0 5.969305287951849
Cn1c(Cl)cnc1C=NN[C@H]1CCOC(C)(C)C1,4.736862953800049 0.0 14.976869565848947 12.149079508416913 38.33200928536492 6.606881964512918 17.174357886505796 0.0 0.0 17.815540469767832,5.425791397110385 34.015452352918444 11.78453493647724 0.0 32.513522143233196 11.2982510973528 5.153109816892792 0.0 0.0 0.0,14.729753998701788 0.0 4.9839785209472085 5.101407525739723 0.0 11.600939890232516 26.689117645233267 19.696394776338067 18.01249496213208 5.153109816892792 5.824404497999927 0.0 0.0 0.0
Cn1nccc1CCOC(=O)[C@@H]1CCSc2ccccc21,9.53140013787187 0.0 9.780484743446223 7.04767198267719 23.655032767531186 12.359735571259707 47.78605840046658 0.0 0.0 17.731190237342965,0.0 28.109525602657783 22.99989374347507 0.0 23.596107155632858 41.4241623894389 0.0 0.0 0.0 0.0,4.736862953800049 9.476340119217006 0.0 5.098681808301038 11.761884949391115 18.19910120538483 29.869860858293013 30.254748647582513 12.52478801067431 0.0 0.0 0.0 0.0 5.969305287951849
COc1ccnc(C(=O)N[C@@H]2CN(CCCCCF)C[C@H]2C)c1,13.92181518554669 0.0 15.200676855804018 5.917906046161393 32.22804289761662 33.41865773129017 24.023505703384757 0.0 5.749511833283905 5.907179729351506,10.05365155780638 55.251566541587316 0.0 5.917906046161393 36.67466724738894 18.329577708536295 0.0 0.0 0.0 4.39041504767482,14.953561288656857 14.16893075269385 0.0 0.0 0.0 6.923737199690624 37.791494389313605 31.3945642810478 13.784388513552441 11.443439828132366 0.0 0.0 5.907179729351506 0.0
COc1cccc(/C(C)=C/C(=O)N2C[C@H]3[C@@H](C2)C3(F)F)c1,18.31223023322151 0.0 4.899909730850478 11.835812092322787 12.846266367785201 20.199310353102685 35.90493987237732 0.0 5.749511833283905 11.480284259420774,4.736862953800049 36.928928981399245 4.794537184071822 11.835812092322787 12.487188691387619 30.34148838068032 0.0 5.573104530069267 0.0 8.78083009534964,9.636772684650527 4.794537184071822 8.78083009534964 0.0 0.0 12.13273413692322 30.193027358380107 19.165532918659032 18.94560963360032 5.749511833283905 0.0 5.907179729351506 5.922529168094576 0.0
Cn1cncc1CCCN1CCS[C@H]2CCCC[C@H]21,0.0 0.0 14.450987899589041 7.04767198267719 49.8167085966862 18.842366418571938 18.218091641226078 0.0 0.0 11.761884949391115,0.0 44.58513317729111 13.4684936056032 0.0 37.79803610947851 12.524163646377618 0.0 0.0 0.0 0.0,4.567099647791355 4.899909730850478 4.9839785209472085 11.761884949391115 0.0 12.841643245852019 32.22804289761662 42.52783242092823 6.3273200747645415 0.0 0.0 0.0 0.0 0.0
COC(=O)[C@H]1CCN(C(=O)Nc2scnc2C2CC2)[C@H]1C,14.325937321943691 0.0 9.883888251797686 5.917906046161393 38.14594894377801 18.97134255119644 11.20446726846584 0.0 0.0 28.338287654912527,5.316788604006331 41.58070282842567 9.53140013787187 5.917906046161393 37.7980361094785 5.51053927361738 0.0 0.0 0.0 9.795619160759689,9.636772684650527 10.111325788078153 9.77851570501903 0.0 11.336785877934737 0.0 26.186202068468653 18.50450328122193 24.23217085590477 5.001081976687867 0.0 0.0 0.0 12.000419800289922
CCCN(C(=O)Cn1ncn(C)c1=O)[C@H]1CCN(CC)C1,4.794537184071822 0.0 24.147403852938535 7.04767198267719 39.275714880293805 26.1790256236503 16.811600657039836 0.0 0.0 5.907179729351506,5.689743398203474 62.2754500350883 18.386965572661587 0.0 26.689117645233267 11.121857258836364 0.0 0.0 0.0 0.0,9.799819461700956 9.361636831863176 9.476340119217006 5.098681808301038 0.0 13.847474399381248 19.386399651764595 32.72378202956288 0.0 12.872076480677116 0.0 5.907179729351506 0.0 5.689743398203474
CCC(=O)N1CCN(C(=O)Cn2cc(C)cn2)CC1,9.589074368143644 0.0 19.58030420514718 0.0 26.813052428219834 26.1790256236503 17.957138634923147 0.0 0.0 11.814359458703011,0.0 57.573689287500486 16.133830774056218 6.923737199690624 18.90801031431363 12.393687143226153 0.0 0.0 0.0 0.0,9.799819461700956 14.270877303288827 0.0 5.098681808301038 0.0 6.923737199690624 12.487188691387619 38.79669081818938 6.196843571613076 6.544756405912575 0.0 11.814359458703011 0.0 0.0
CCCC[C@H](C(=O)O[C@@H](C)C(=O)N(C)CCC#N)C(C)C,14.325937321943691 5.261891554738487 4.899909730850478 11.835812092322787 59.482201678214835 13.592428388589765 0.0 0.0 6.069221312792274 11.876485017303356,0.0 36.4727895244919 14.325937321943691 23.166924959853546 53.378235290466534 0.0 0.0 0.0 0.0 0.0,9.636772684650527 9.589074368143644 0.0 5.261891554738487 0.0 33.61285484492389 19.262464868778025 13.592428388589765 18.407948981879677 0.0 6.103966387748303 0.0 5.907179729351506 5.969305287951849
CC(C)(NC(=O)c1nccnc1Cl)C(=O)N1CCCC1,9.589074368143644 0.0 20.184655376751227 0.0 32.22804289761661 13.08951281182515 23.240724954967405 0.0 0.0 23.415299348935527,5.316788604006331 45.310664295656395 4.794537184071822 0.0 37.177582824153546 12.393687143226153 5.153109816892792 0.0 0.0 0.0,10.216698334856808 9.589074368143644 9.967957041894417 0.0 0.0 11.600939890232516 26.689117645233267 25.483199955051305 0.0 5.538925252383345 10.847037811741252 5.907179729351506 5.907179729351506 0.0
CCC[C@@H](C(=O)N1CC[C@H]1CN(C)C(=O)CC)S(N)(=O)=O,18.00687135247258 0.0 9.799819461700956 5.138973737607942 50.82253975021541 20.13718479450234 0.0 0.0 0.0 21.837650612110593,5.138973737607942 61.46093955836538 19.612365521551226 0.0 39.53076089108528 0.0 0.0 0.0 0.0 0.0,9.799819461700956 9.589074368143644 13.556770721936878 0.0 0.0 20.268296022307258 12.841643245852019 26.55800641742835 6.041840829147961 0.0 5.249938029982174 21.837650612110593 0.0 0.0
Cc1cc(C(=O)N(C)[C@@H]2CCCN(C(=O)[C@H](C)C#N)C2)cnn1,9.589074368143644 5.261891554738487 19.99718307830303 5.917906046161393 32.730958474381225 20.13718479450234 23.520590126620142 0.0 6.069221312792274 11.814359458703011,0.0 57.99056816065634 4.794537184071822 24.17275611338278 35.81729711615992 12.263210640074686 0.0 0.0 0.0 0.0,9.799819461700956 9.589074368143644 0.0 15.459255171340562 0.0 0.0 32.75548471369488 26.1790256236503 23.523444370950806 5.917906046161393 0.0 5.907179729351506 5.907179729351506 0.0
CCO[C@H]1CCC[C@@H](OC(=O)CSC(F)F)C1,23.049093187021562 0.0 0.0 0.0 50.572433195571236 12.359735571259707 0.0 0.0 0.0 17.731190237342965,0.0 36.29445036338813 14.268263091671919 0.0 32.60702369139466 0.0 0.0 0.0 0.0 8.78083009534964,9.473725907600098 4.794537184071822 0.0 8.78083009534964 0.0 11.761884949391115 26.186202068468653 13.027703587438928 11.85681999449509 6.103966387748303 0.0 0.0 5.757476728679971 5.969305287951849
CCC(C)(CC)C(=O)N[C@H]1CCN(C(=O)COC2CCCC2)[C@H]1C,14.325937321943693 0.0 10.216698334856808 5.41499046939678 90.82834820528879 13.151638370425493 0.0 0.0 0.0 11.814359458703011,5.316788604006331 48.0535556060232 14.325937321943693 5.41499046939678 72.64070015924457 0.0 0.0 0.0 0.0 0.0,14.953561288656857 9.589074368143644 0.0 0.0 0.0 33.61285484492389 39.02784531432067 18.001587704457314 12.145807216896262 6.606881964512918 0.0 11.814359458703011 0.0 0.0
CCc1ccc2c(c1)CCN2C(=O)c1ncc(C(N)=O)cc1Cl,9.589074368143644 0.0 4.9839785209472085 5.733667477162185 19.765380445542643 11.444666136763054 57.86922762914029 0.0 0.0 29.102685623619088,10.633577208012664 23.343094385562793 12.841643245852019 0.0 38.89709403777371 30.462311845459517 5.022633313741326 0.0 0.0 5.687386274683562,10.633577208012664 9.589074368143644 4.9839785209472085 0.0 0.0 30.657411226846357 36.10128036616923 18.428986252209214 10.586084805438322 5.693927994848461 0.0 5.907179729351506 5.907179729351506 0.0
CCn1cnc(C(=O)N2CC[C@H]3CN(Cc4ccccc4)C[C@H]32)c1,4.794537184071822 0.0 19.35089763043952 5.917906046161393 32.475912463589744 19.634269217737724 54.113378475231116 0.0 0.0 5.907179729351506,0.0 50.934187406676706 13.08951281182515 5.917906046161393 29.39647549323391 42.85599898868567 0.0 0.0 0.0 0.0,9.467009378641833 9.694446914922299 4.9839785209472085 0.0 0.0 30.33183534230805 24.82591636047502 44.962466430323914 6.3273200747645415 5.693927994848461 0.0 0.0 5.907179729351506 0.0
COC(=O)C1=C(C)O[C@H](CN(C)Cc2nccn2C)C1,14.268263091671919 0.0 14.450987899589041 7.04767198267719 25.99328161627751 20.7022259298673 29.550361042951522 0.0 0.0 5.969305287951849,0.0 47.22648550515649 27.860691480261686 0.0 19.168963320616562 23.725956544951597 0.0 0.0 0.0 0.0,14.040825555391454 4.899909730850478 9.77851570501903 0.0 0.0 0.0 13.971409182367815 32.406937154741925 19.227658477259375 17.687535757404405 0.0 0.0 0.0 5.969305287951849
CN(C[C@H]1CCN1C(=O)[C@H]1CC[C@H](C)CC1)C(=O)[C@H]1CCC1(C)C,9.589074368143644 0.0 9.799819461700956 23.168708607880962 71.75880378870191 20.13718479450234 0.0 0.0 0.0 11.814359458703011,0.0 47.79320454405427 9.589074368143644 23.168708607880962 65.71696295955394 0.0 0.0 0.0 0.0 0.0,9.799819461700956 9.589074368143644 0.0 0.0 0.0 20.771211599071872 56.278647876040246 31.972996886825122 6.041840829147961 0.0 0.0 11.814359458703011 0.0 0.0
COC(=O)[C@H]1CCN(CCc2ccccc2F)[C@H](C(=O)OC)C1,23.45321532341856 0.0 4.899909730850478 5.917906046161393 25.30430569792599 27.30910789438022 35.64614060658933 0.0 0.0 11.938610575903699,0.0 50.18946903028235 25.48362189866975 11.735126887207288 18.405094737549014 24.26546827384644 0.0 0.0 0.0 4.39041504767482,9.473725907600098 14.48898409899412 4.39041504767482 0.0 0.0 18.19910120538483 37.43703983484921 6.544756405912575 20.13750112871646 11.859061670193856 0.0 0.0 0.0 11.938610575903699
CCON(CC)C(=O)C1CCN(C(=O)N2CCCC2)CC1,14.426662951880278 0.0 14.863037186666304 5.917906046161393 39.53076089108529 39.33066399407579 0.0 0.0 0.0 11.938294241689578,0.0 66.13199542243167 9.632125767808455 5.917906046161393 39.53076089108529 0.0 0.0 0.0 0.0 4.794537184071822,9.799819461700956 9.632125767808455 9.85775490903717 0.0 0.0 0.0 39.53076089108529 38.64168807572427 6.606881964512918 0.0 0.0 5.907179729351506 0.0 6.031114512338072
O=C(NCC1CCC1)N(CCC(F)(F)F)CC1CC1,17.96578232709628 0.0 10.216698334856808 11.835812092322787 44.701228254999535 19.634269217737724 0.0 0.0 0.0 6.031114512338072,5.316788604006331 36.74159197836975 0.0 11.835812092322787 38.524929737556064 0.0 0.0 0.0 0.0 17.96578232709628,10.216698334856808 0.0 4.794537184071822 13.171245143024459 0.0 6.4208216229260096 37.51909858402682 19.634269217737724 6.4208216229260096 0.0 0.0 0.0 0.0 12.207413029781547
O=C(NCCC1CC(F)(F)C1)c1ccc(OC(F)F)cc1,27.093060328571156 0.0 5.316788604006331 5.917906046161393 31.796499123318707 6.544756405912575 29.828919765543436 0.0 5.749511833283905 5.907179729351506,10.05365155780638 24.98597038980476 0.0 5.917906046161393 29.620453544546844 24.26546827384644 0.0 0.0 0.0 17.56166019069928,10.05365155780638 4.794537184071822 8.78083009534964 8.78083009534964 0.0 0.0 36.60419594293384 24.94985114346159 0.0 5.749511833283905 0.0 5.922529168094576 5.907179729351506 6.611505086446101
CCC(=O)N1CCC[C@H]1CN(C)C(=O)c1cccc(-n2cnnn2)c1,9.589074368143644 0.0 30.007074396456915 0.0 32.22804289761661 20.13718479450234 36.156239840307975 0.0 5.687386274683562 11.814359458703011,0.0 68.00045947881023 4.794537184071822 0.0 36.54419074423747 30.59278834861098 0.0 5.687386274683562 0.0 0.0,9.799819461700956 9.589074368143644 4.681802935145185 0.0 5.098681808301038 12.990104268152233 41.46751464254658 38.163298738273305 5.687386274683562 6.3273200747645415 0.0 5.907179729351506 5.907179729351506 0.0
COC(=O)[C@@]1(F)CCN(C(=O)[C@H](C)n2ccnc2)C1,18.716352369618512 0.0 14.450987899589041 0.0 25.055159470510272 20.199310353102685 18.721007217990696 0.0 0.0 11.876485017303356,0.0 52.195543088740756 14.325937321943691 0.0 19.386399651764595 18.721007217990696 0.0 0.0 0.0 4.39041504767482,14.203872332441883 4.794537184071822 14.16893075269385 0.0 0.0 0.0 6.923737199690624 25.359265172064738 19.98187402195465 6.041840829147961 0.0 11.575939548097184 0.0 5.969305287951849
FC(F)(F)[C@@H]1CCCN1C[C@H]1COC2(CCCCC2)O1,22.644971050624555 0.0 4.899909730850478 0.0 69.05496824739241 19.696394776338067 0.0 0.0 0.0 0.0,0.0 48.70552139409888 9.473725907600098 0.0 44.94575136048208 0.0 0.0 0.0 0.0 13.171245143024459,9.473725907600098 4.899909730850478 0.0 13.171245143024459 0.0 6.4208216229260096 32.22804289761662 19.386399651764595 12.71084835226122 6.041840829147961 5.7871111525705965 0.0 0.0 6.176298517443475
CCN(C)C[C@H]1CCCN1C(=O)c1nc(C)c(C)nc1C,4.794537184071822 0.0 19.76777650359537 0.0 46.578432873762466 26.681941200414915 22.775711979393844 0.0 0.0 5.907179729351506,0.0 58.39873826250976 0.0 20.771211599071872 47.3356296090083 0.0 0.0 0.0 0.0 0.0,9.799819461700956 9.77851570501903 4.9839785209472085 0.0 0.0 6.923737199690624 47.205283233513654 19.13135364097311 17.081783984545382 5.693927994848461 0.0 0.0 5.907179729351506 0.0
c1ccc(-c2noc(CCc3nnc(Cc4cccnc4)o3)n2)cc1,8.940245874026695 0.0 25.321983915621935 0.0 19.26246486877803 0.0 78.09387988023215 0.0 11.387855989696924 0.0,0.0 25.321983915621935 19.26246486877803 0.0 23.23562325777472 63.79850249648412 0.0 11.387855989696924 0.0 0.0,8.940245874026695 4.9839785209472085 0.0 4.9839785209472085 10.197363616602075 41.55486566789511 11.629818560158606 30.798781880775167 6.4208216229260096 0.0 0.0 23.496576264077653 0.0 0.0
CC(C)CNCC1CCN(C(=O)[C@@H](C)C(C)(F)F)CC1,13.575367279421462 0.0 10.216698334856808 17.75371813848418 46.45912121270909 26.1790256236503 0.0 0.0 0.0 5.907179729351506,5.316788604006331 42.90864425194685 4.794537184071822 17.75371813848418 40.53659204461452 0.0 0.0 0.0 0.0 8.78083009534964,10.216698334856808 4.794537184071822 8.78083009534964 0.0 0.0 13.847474399381248 44.690705349690575 20.013250011515776 5.917906046161393 0.0 0.0 5.907179729351506 5.922529168094576 0.0
CCCC(=O)N1CC[C@@H](C)[C@@H](CNC(=O)c2ccc(C3CC3)cn2)C1,9.589074368143644 0.0 15.200676855804016 11.835812092322787 51.8694885601727 19.634269217737724 29.58695719508175 0.0 0.0 11.814359458703011,5.316788604006331 41.33251692823842 4.794537184071822 11.835812092322787 67.92140523078997 18.3295777085363 0.0 0.0 0.0 0.0,10.216698334856808 14.573052889090853 0.0 0.0 0.0 19.913841467842857 55.066823190346824 32.25193441227681 0.0 5.693927994848461 0.0 5.907179729351506 5.907179729351506 0.0
C#CCOc1ccc([C@@H](C)OC(=O)c2cnn(C)n2)cc1,14.268263091671919 0.0 14.99386983910109 7.04767198267719 13.027703587438927 6.606881964512918 41.71969133200498 0.0 18.093296047759807 5.969305287951849,4.736862953800049 27.570057091565857 11.78453493647724 12.343784214475903 29.079620258056206 30.462311845459517 0.0 0.0 0.0 0.0,9.473725907600098 0.0 4.794537184071822 9.895188030800051 11.522031703921296 18.053168455778863 24.61992282831084 7.04767198267719 6.196843571613076 18.460360185545127 5.693927994848461 0.0 0.0 5.969305287951849
Cc1ccncc1CC(=O)N1CC[C@H]2CN(CCC3CC3)C[C@H]21,4.794537184071822 0.0 14.783797982648164 11.835812092322787 45.06968614346863 26.1790256236503 29.586957195081755 0.0 0.0 5.907179729351506,0.0 52.91184416479793 11.21535880699783 18.75954929201341 36.81018947509803 18.460054211687762 0.0 0.0 0.0 0.0,9.799819461700956 9.77851570501903 0.0 0.0 0.0 12.841643245852019 55.3392189956336 38.069797190111835 6.4208216229260096 0.0 0.0 5.907179729351506 0.0 0.0
CC(=O)N[C@H]1COC2(CN(C(=O)[C@H](C)OCC3CC3)C2)C1,19.06280027574374 0.0 10.216698334856808 5.917906046161393 50.85679729603923 26.303276740850986 0.0 0.0 0.0 11.814359458703011,5.316788604006331 60.76440395828442 19.06280027574374 5.917906046161393 33.10993926815928 0.0 0.0 0.0 0.0 0.0,19.690424242456906 9.589074368143644 0.0 0.0 0.0 0.0 25.683286491704035 13.344558822616634 32.34511756999895 11.70501719873199 0.0 5.907179729351506 5.907179729351506 0.0
COC[C@H](OC)C(=O)N(C)CCN(C)c1nccn2nnnc12,14.268263091671919 0.0 29.924738145024083 0.0 6.103966387748303 52.91124355509798 12.393687143226153 0.0 0.0 17.37221972795426,4.899909730850478 89.94721808637141 14.268263091671919 0.0 0.0 12.393687143226153 0.0 5.647177220767728 0.0 5.817862777835028,19.273545369301054 4.794537184071822 4.9839785209472085 4.5153978936156225 5.098681808301038 0.0 10.426770191309735 47.601295431347665 12.803725536125995 0.0 11.92182916558333 5.647177220767728 5.907179729351506 0.0
Cc1ccc(C)c(CN2CCC3(C2)CCN(C)CC3)c1,0.0 0.0 9.799819461700956 5.41499046939678 39.65469567407186 33.22669760632749 34.88945568047582 0.0 0.0 0.0,0.0 43.02651706802845 6.544756405912575 19.26246486877803 35.95281934386902 18.19910120538483 0.0 0.0 0.0 0.0,4.899909730850478 4.899909730850478 0.0 0.0 0.0 23.762552697081826 76.33377392136495 13.08951281182515 0.0 0.0 0.0 0.0 0.0 0.0
CC(=O)CCn1cc(CN2CC[C@@H](Oc3ccccc3Cl)C2)nn1,9.53140013787187 0.0 19.89377956995157 0.0 38.95885964511609 13.08951281182515 41.1788731540493 0.0 5.749511833283905 17.384184836597456,4.736862953800049 44.87050371588995 17.884049995896973 0.0 25.459308440391105 30.462311845459514 5.022633313741326 0.0 0.0 0.0,4.736862953800049 14.376249850067484 0.0 0.0 5.098681808301038 28.947059122810604 25.477292959539852 38.79669081818938 10.716561308589787 17.636723167397147 0.0 0.0 0.0 0.0
