SMILES,SMR_VSA,SlogP_VSA,PEOE_VSA
Cc1cc(F)ncc1C(=O)OC[C@H]1CCSC1,13.921815185546691 0.0 4.9839785209472085 5.917906046161393 13.344558822616634 18.112589178006495 29.337810967666037 0.0 0.0 17.731190237342965,0.0 29.065872986905557 4.736862953800049 18.789340590049378 22.342261790391824 12.263210640074686 0.0 0.0 0.0 4.39041504767482,4.736862953800049 0.0 9.77851570501903 16.152299997065935 0.0 0.0 36.48008459626882 12.11474961777447 12.170333456209914 0.0 0.0 5.947697344197361 0.0 5.969305287951849
O=C1Nc2ccccc2CC[C@H]1Sc1nnnn1C1CC1,4.794537184071822 0.0 20.20725493475596 0.0 42.13150183265488 5.316788604006331 29.828919765543436 0.0 0.0 23.356450953426183,5.316788604006331 31.36437269408964 11.21535880699783 0.0 30.867757189622985 29.42190475566715 0.0 0.0 0.0 5.687386274683562,5.316788604006331 4.794537184071822 4.681802935145185 0.0 5.098681808301038 29.960986154775945 47.73987524317239 5.687386274683562 11.291778859130135 0.0 0.0 11.063616211172214 0.0 0.0
Cc1c(F)cccc1-c1noc([C@@H]2CCN[C@H](C)C2)n1,8.913509984648169 0.0 15.457430382078986 0.0 38.64886452054262 6.544756405912575 35.470497460153624 0.0 11.387855989696924 0.0,5.316788604006331 22.72723901313319 0.0 12.740958040736519 37.137461905426946 22.72219614235818 0.0 11.387855989696924 0.0 4.39041504767482,9.83988354097968 0.0 4.39041504767482 4.9839785209472085 0.0 17.289397394048667 44.863692611304444 17.52319836700635 0.0 5.817220841045895 0.0 11.715128420025835 0.0 0.0
Cc1nnc(-c2cccc(C(=O)Nc3cc(C)ccn3)c2)o1,9.211688121125169 0.0 15.181342137549283 0.0 13.847474399381248 5.316788604006331 59.61267288780264 0.0 11.454175413722904 11.725042507186533,5.316788604006331 21.088521866900788 0.0 13.847474399381248 21.81216408949172 47.012196919436086 0.0 11.454175413722904 0.0 5.817862777835028,9.733939541059678 4.794537184071822 4.9839785209472085 0.0 10.197363616602075 6.06636706846161 42.81902403369567 24.24748375469769 0.0 5.817862777835028 0.0 11.781447844051817 5.907179729351506 0.0
Cc1ccccc1[C@@H]1C[C@H]1NC(=O)N1CCC1(C)C,4.794537184071822 0.0 10.216698334856808 0.0 51.11152697261659 6.544756405912575 35.392371257240434 0.0 0.0 6.031114512338072,5.316788604006331 29.056546730632434 0.0 6.923737199690624 43.73392667478865 24.26546827384644 0.0 0.0 0.0 4.794537184071822,10.216698334856808 0.0 4.794537184071822 0.0 0.0 24.26546827384644 44.73975782831788 24.043428533605272 0.0 0.0 0.0 0.0 0.0 6.031114512338072
O=C1[C@H](N[C@H]2CC[C@H]2C2CC2)CCN1CCCc1ccccc1,4.794537184071822 0.0 10.216698334856808 11.835812092322787 57.02943301877799 13.08951281182515 35.89528683400505 0.0 0.0 5.907179729351506,5.316788604006331 35.980283930323054 11.21535880699783 11.835812092322787 44.08838122925306 30.33183534230805 0.0 0.0 0.0 0.0,10.216698334856808 4.794537184071822 0.0 0.0 0.0 30.33183534230805 62.345014944501855 19.13135364097311 6.041840829147961 0.0 0.0 5.907179729351506 0.0 0.0
C[C@@H]1CN(C(=O)C2(C)CC2)C[C@H]1CNCc1ccccc1,4.794537184071822 0.0 10.216698334856808 17.250802561719567 33.23387405114584 19.634269217737724 35.89528683400505 0.0 0.0 5.907179729351506,5.316788604006331 30.44135867793971 11.339293589984397 17.250802561719567 32.25256913693026 30.33183534230805 0.0 0.0 0.0 0.0,10.216698334856808 4.794537184071822 0.0 0.0 0.0 44.179309741689295 30.240906829871797 31.59401609304708 0.0 0.0 0.0 5.907179729351506 0.0 0.0
Cc1ccc(C)c(C2=NO[C@H](c3nc(-c4ccncn4)no3)C2)c1,9.360683520709982 0.0 20.10859881996707 5.15571272675054 26.37226241005556 0.0 59.37071031734096 0.0 11.518332492848387 5.711685002770702,0.0 25.82028382273777 4.8375885837366335 13.847474399381248 35.10586640779121 46.46843958394795 0.0 11.518332492848387 0.0 0.0,9.360683520709982 0.0 9.967957041894417 4.9839785209472085 0.0 28.0085616124962 31.54366002800146 18.18111668623608 5.711685002770702 12.021248069613002 0.0 11.92837088574823 5.890723922025908 0.0
CCCCc1ccc(S(=O)(=O)N2CCCNC(=O)C2)cc1,13.212334168400758 0.0 9.622004595302565 0.0 37.50250716691244 19.634269217737724 29.828919765543436 0.0 0.0 15.930470882759089,5.316788604006331 38.2644619227144 21.238649960405414 0.0 31.749653560165648 29.160951749364216 0.0 0.0 0.0 0.0,5.316788604006331 4.794537184071822 8.417796984328938 4.305215991296234 0.0 25.477292959539852 36.958650497398246 13.08951281182515 11.440239881430351 0.0 0.0 15.930470882759089 0.0 0.0
COc1ccc([C@H]2CN(C(=O)c3ccnc(F)c3)CCN2)cc1,13.92181518554669 0.0 15.200676855804016 0.0 6.041840829147961 26.74406675901526 59.669646309974084 0.0 5.749511833283905 5.907179729351506,10.05365155780638 42.535134740164445 0.0 5.947697344197361 21.963280996613772 42.595045982382736 0.0 0.0 0.0 4.39041504767482,14.953561288656857 4.794537184071822 4.9839785209472085 4.39041504767482 0.0 12.13273413692322 23.762552697081826 43.50277217865737 7.109797541277533 5.749511833283905 0.0 5.947697344197361 5.907179729351506 0.0
